id_produit,nom_produit,categorie,marque,prix,prix_achat,poids_kg,stock_initial
PRD0001,Smartphone Samsung,Électronique,Samsung,3673.01,1576.41,7.62,281
PRD0002,Smartphone Apple,Électronique,Apple,4055.79,2258.85,1.34,375
PRD0003,Smartphone Lenovo,Électronique,Lenovo,502.43,311.13,14.14,185
PRD0004,Smartphone Sony,Électronique,Sony,310.6,178.61,1.7,443
PRD0005,Smartphone Xiaomi,Électronique,Xiaomi,974.68,597.91,0.99,58
PRD0006,Laptop Apple,Électronique,Apple,486.86,258.19,5.99,430
PRD0007,Laptop Huawei,Électronique,Huawei,398.43,215.76,8.88,146
PRD0008,Laptop Dell,Électronique,Dell,2876.04,1465.93,8.88,165
PRD0009,Laptop HP,Électronique,HP,3103.71,1428.18,13.68,75
PRD0010,Laptop Lenovo,Électronique,Lenovo,3080.53,1256.48,5.61,175
PRD0011,Tablette Apple,Électronique,Apple,2607.1,1694.33,11.84,182
PRD0012,Tablette Sony,Électronique,Sony,3807.89,1584.29,8.53,304
PRD0013,Tablette HP,Électronique,HP,1290.39,828.85,8.14,142
PRD0014,Tablette Xiaomi,Électronique,Xiaomi,1827.69,1003.47,12.27,259
PRD0015,Tablette Lenovo,Électronique,Lenovo,1810.3,827.23,6.31,114
PRD0016,Écouteurs Sony,Électronique,Sony,3871.15,2209.26,14.13,358
PRD0017,Écouteurs Dell,Électronique,Dell,3660.14,1900.05,0.3,416
PRD0018,Écouteurs Samsung,Électronique,Samsung,3840.77,2090.5,1.14,267
PRD0019,Écouteurs Huawei,Électronique,Huawei,2842.14,1389.84,6.38,490
PRD0020,Écouteurs Apple,Électronique,Apple,3303.08,2089.24,4.13,37
PRD0021,Montre connectée Xiaomi,Électronique,Xiaomi,549.69,294.82,5.32,263
PRD0022,Montre connectée Lenovo,Électronique,Lenovo,606.35,391.36,6.69,251
PRD0023,Montre connectée Asus,Électronique,Asus,1931.06,978.19,13.47,485
PRD0024,Montre connectée Sony,Électronique,Sony,831.57,521.98,1.16,455
PRD0025,Montre connectée HP,Électronique,HP,4094.94,2037.17,14.19,165
PRD0026,TV 4K Huawei,Électronique,Huawei,1191.42,686.29,5.3,307
PRD0027,TV 4K Samsung,Électronique,Samsung,2073.52,904.03,7.56,184
PRD0028,TV 4K LG,Électronique,LG,3187.45,2038.89,8.09,24
PRD0029,TV 4K Lenovo,Électronique,Lenovo,3660.53,2316.25,9.81,307
PRD0030,TV 4K Dell,Électronique,Dell,2042.84,876.6,13.27,329
PRD0031,Enceinte Bluetooth Samsung,Électronique,Samsung,3626.83,1747.47,1.01,244
PRD0032,Enceinte Bluetooth Asus,Électronique,Asus,1627.25,864.43,3.95,494
PRD0033,Enceinte Bluetooth Xiaomi,Électronique,Xiaomi,1666.21,984.19,4.01,230
PRD0034,Enceinte Bluetooth Apple,Électronique,Apple,3776.41,1669.31,6.04,232
