id_retour,id_vente,id_client,id_produit,date_retour,motif,quantite_retournee,montant_rembourse,statut_retour
RET00001,VNT032103,CLT04361,PRD0055,2023-01-28,Mauvaise taille,1,2134.47,en_traitement
RET00002,VNT035584,CLT08397,PRD0293,2024-12-20,Arrivé endommagé,1,457.39,remboursé
RET00003,VNT042647,CLT10942,PRD0103,2023-03-09,Doublon de commande,2,99.75,en_traitement
RET00004,VNT044900,CLT11137,PRD0303,2022-08-27,Ne correspond pas à la description,1,159.57,remboursé
RET00005,VNT013901,CLT06203,PRD0251,2022-04-10,Mauvaise taille,1,111.82,remboursé
RET00006,VNT000332,CLT10808,PRD0298,2024-05-02,Arrivé endommagé,2,515.67,remboursé
RET00007,VNT032925,CLT08655,PRD0303,2022-06-02,Mauvaise taille,2,1026.04,remboursé
RET00008,VNT049627,CLT00648,PRD0159,2022-01-25,Mauvaise taille,2,1439.81,refusé
RET00009,VNT054799,CLT04918,PRD0293,2023-01-15,Produit défectueux,1,412.78,remboursé
RET00010,VNT047191,CLT11944,PRD0383,2024-12-23,Ne correspond pas à la description,1,997.58,remboursé
RET00011,VNT026883,CLT04979,PRD0147,2023-02-24,Mauvaise taille,6,305.6,remboursé
RET00012,VNT051619,CLT02302,PRD0055,2024-08-28,Produit défectueux,2,1258.1,remboursé
RET00013,VNT044088,CLT05656,PRD0220,2025-01-08,Mauvaise taille,5,15434.85,en_traitement
RET00014,VNT031604,CLT11705,PRD0095,2024-04-21,Mauvaise taille,1,417.88,refusé
RET00015,VNT047647,CLT10164,PRD0145,2022-10-02,Mauvaise taille,2,45.15,remboursé
RET00016,VNT044109,CLT01059,PRD0280,2024-01-21,Produit défectueux,1,109.25,en_traitement
RET00017,VNT017529,CLT09649,PRD0002,2022-02-04,Ne correspond pas à la description,2,11361.89,remboursé
RET00018,VNT011611,CLT07909,PRD0282,2022-11-19,Arrivé endommagé,3,342.39,refusé
RET00019,VNT049821,CLT07180,PRD0064,2022-09-28,Produit défectueux,1,202.66,remboursé
RET00020,VNT019842,CLT00558,PRD0393,2022-03-10,Produit défectueux,1,491.89,remboursé
RET00021,VNT039221,CLT00620,PRD0395,2025-01-29,Arrivé endommagé,3,3229.87,remboursé
RET00022,VNT042038,CLT11222,PRD0026,2024-07-28,Ne correspond pas à la description,2,2041.34,remboursé
RET00023,VNT050085,CLT11959,PRD0001,2022-03-30,Ne correspond pas à la description,5,13490.8,en_traitement
RET00024,VNT004336,CLT09958,PRD0267,2023-02-17,Changement d'avis,1,165.06,remboursé
RET00025,VNT031734,CLT02806,PRD0007,2022-05-07,Produit défectueux,4,1516.08,en_traitement
RET00026,VNT010094,CLT00407,PRD0386,2023-03-05,Doublon de commande,2,173.3,remboursé
RET00027,VNT047999,CLT04942,PRD0019,2024-09-26,Doublon de commande,2,10007.01,remboursé
RET00028,VNT048418,CLT07111,PRD0263,2023-06-14,Arrivé endommagé,6,2133.18,remboursé
RET00029,VNT052778,CLT04319,PRD0202,2022-03-06,Produit défectueux,1,1517.57,remboursé
RET00030,VNT028119,CLT05670,PRD0318,2024-03-07,Délai de livraison dépassé,1,184.95,en_traitement
RET00031,VNT041630,CLT00949,PRD0172,2023-12-05,Mauvaise taille,1,483.59,remboursé
RET00032,VNT054612,CLT03283,PRD0057,2023-10-08,Ne correspond pas à la description,1,2598.02,remboursé
RET00033,VNT012611,CLT08164,PRD0094,2023-11-04,Ne correspond pas à la description,5,4751.03,remboursé
RET00034,VNT013132,CLT00430,PRD0301,2023-06-07,Arrivé endommagé,1,503.56,en_traitement
RET00035,VNT027881,CLT07228,PRD0388,2022-05-26,Changement d'avis,3,1303.45,remboursé
RET00036,VNT019601,CLT01346,PRD0126,2022-07-09,Produit défectueux,2,342.06,remboursé
RET00037,VNT007926,CLT09952,PRD0243,2023-02-10,Produit défectueux,3,15714.9,refusé
RET00038,VNT020705,CLT09591,PRD0097,2022-11-08,Arrivé endommagé,1,440.86,remboursé
RET00039,VNT011078,CLT02554,PRD0283,2024-04-11,Mauvaise taille,1,257.03,en_traitement
RET00040,VNT049440,CLT06884,PRD0358,2023-11-11,Changement d'avis,1,64.32,remboursé
RET00041,VNT005703,CLT11749,PRD0079,2022-11-21,Délai de livraison dépassé,4,1126.11,remboursé
RET00042,VNT036076,CLT08613,PRD0051,2023-03-22,Arrivé endommagé,3,1608.89,remboursé
RET00043,VNT020904,CLT11284,PRD0021,2023-05-07,Produit défectueux,1,370.26,refusé
RET00044,VNT049936,CLT01041,PRD0045,2022-08-01,Changement d'avis,3,2305.38,en_traitement
RET00045,VNT036223,CLT06582,PRD0073,2024-02-21,Mauvaise taille,1,509.65,remboursé
RET00046,VNT005900,CLT05847,PRD0330,2024-11-14,Ne correspond pas à la description,1,49.41,remboursé
RET00047,VNT054711,CLT00450,PRD0211,2023-02-21,Mauvaise taille,2,2313.67,remboursé
RET00048,VNT023693,CLT11295,PRD0181,2024-09-13,Arrivé endommagé,5,4966.42,remboursé
RET00049,VNT039281,CLT00676,PRD0190,2022-03-12,Qualité insuffisante,1,1313.33,en_traitement
RET00050,VNT054651,CLT05020,PRD0164,2024-10-18,Ne correspond pas à la description,1,280.48,remboursé
RET00051,VNT005464,CLT08109,PRD0205,2023-03-12,Ne correspond pas à la description,4,5765.43,remboursé
RET00052,VNT032299,CLT04898,PRD0144,2024-06-13,Arrivé endommagé,2,231.86,en_traitement
RET00053,VNT013606,CLT08546,PRD0348,2022-06-16,Arrivé endommagé,2,541.37,en_traitement
RET00054,VNT053253,CLT10588,PRD0192,2024-03-10,Arrivé endommagé,1,848.31,en_traitement
RET00055,VNT006083,CLT03408,PRD0400,2024-11-01,Ne correspond pas à la description,2,576.48,en_traitement
RET00056,VNT026289,CLT02352,PRD0164,2022-04-20,Mauvaise taille,1,653.79,en_traitement
RET00057,VNT043157,CLT07552,PRD0285,2023-12-24,Produit défectueux,2,325.13,refusé
RET00058,VNT033732,CLT09397,PRD0347,2022-11-23,Produit défectueux,1,174.97,remboursé
RET00059,VNT022687,CLT09130,PRD0050,2022-09-13,Changement d'avis,1,3603.47,remboursé
RET00060,VNT007281,CLT01026,PRD0203,2024-03-11,Doublon de commande,7,12671.18,remboursé
RET00061,VNT024964,CLT04162,PRD0360,2024-06-08,Mauvaise taille,1,513.23,remboursé
RET00062,VNT029696,CLT03641,PRD0198,2024-10-02,Produit défectueux,3,2120.84,remboursé
RET00063,VNT048171,CLT06037,PRD0082,2022-11-12,Mauvaise taille,1,547.99,refusé
RET00064,VNT028524,CLT02654,PRD0152,2022-08-19,Arrivé endommagé,2,2610.58,en_traitement
RET00065,VNT033377,CLT08702,PRD0240,2023-01-15,Mauvaise taille,2,2751.06,en_traitement
RET00066,VNT054054,CLT10161,PRD0035,2022-03-17,Ne correspond pas à la description,1,8480.36,remboursé
RET00067,VNT006581,CLT03080,PRD0031,2023-11-18,Doublon de commande,1,3050.05,refusé
RET00068,VNT010810,CLT09471,PRD0284,2024-09-21,Produit défectueux,1,92.87,remboursé
RET00069,VNT017880,CLT06285,PRD0216,2022-07-17,Produit défectueux,1,1460.97,remboursé
RET00070,VNT031822,CLT00829,PRD0014,2022-06-28,Produit défectueux,1,3226.13,remboursé
RET00071,VNT054894,CLT08798,PRD0393,2023-05-24,Délai de livraison dépassé,1,507.92,remboursé
RET00072,VNT053942,CLT03081,PRD0215,2025-01-07,Qualité insuffisante,1,5195.84,remboursé
RET00073,VNT051115,CLT07710,PRD0383,2023-10-09,Produit défectueux,2,837.21,en_traitement
RET00074,VNT031446,CLT05756,PRD0144,2024-07-12,Arrivé endommagé,2,461.16,remboursé
RET00075,VNT027110,CLT11616,PRD0052,2022-02-06,Produit défectueux,1,464.66,remboursé
RET00076,VNT041806,CLT05345,PRD0291,2024-07-23,Arrivé endommagé,2,326.91,remboursé
RET00077,VNT014353,CLT06644,PRD0012,2022-01-16,Ne correspond pas à la description,3,9883.27,remboursé
RET00078,VNT033580,CLT01318,PRD0360,2023-12-03,Mauvaise taille,4,2488.69,remboursé
RET00079,VNT049381,CLT09162,PRD0235,2024-06-04,Produit défectueux,1,2301.39,remboursé
RET00080,VNT007759,CLT06128,PRD0247,2022-12-15,Produit défectueux,1,90.6,remboursé
RET00081,VNT018279,CLT11394,PRD0281,2022-09-19,Ne correspond pas à la description,2,654.5,en_traitement
RET00082,VNT037181,CLT00396,PRD0189,2023-05-14,Ne correspond pas à la description,1,69.8,remboursé
RET00083,VNT000007,CLT09519,PRD0136,2024-10-12,Produit défectueux,1,117.1,remboursé
RET00084,VNT004976,CLT00158,PRD0274,2024-03-30,Mauvaise taille,1,607.2,refusé
RET00085,VNT042172,CLT08445,PRD0247,2024-11-05,Produit défectueux,3,378.05,remboursé
RET00086,VNT047340,CLT01938,PRD0239,2024-05-21,Arrivé endommagé,1,10379.78,remboursé
RET00087,VNT019340,CLT11842,PRD0201,2023-02-17,Mauvaise taille,1,1575.97,remboursé
RET00088,VNT047513,CLT07458,PRD0198,2022-12-14,Produit défectueux,1,415.65,remboursé
RET00089,VNT017791,CLT11713,PRD0015,2023-06-11,Arrivé endommagé,1,1331.18,remboursé
RET00090,VNT002700,CLT04509,PRD0018,2024-12-10,Mauvaise taille,2,5694.73,refusé
RET00091,VNT018292,CLT07901,PRD0042,2024-09-13,Mauvaise taille,1,8962.4,remboursé
RET00092,VNT031666,CLT11440,PRD0194,2024-05-13,Mauvaise taille,2,718.46,en_traitement
RET00093,VNT023278,CLT09842,PRD0137,2023-02-07,Mauvaise taille,1,44.87,refusé
RET00094,VNT034989,CLT05372,PRD0188,2022-04-01,Arrivé endommagé,4,292.96,remboursé
