id_vente,date,id_client,id_produit,id_canal,quantite,prix_unitaire,remise_pct,montant,statut
VNT000001,2024-09-17,CLT08144,PRD0050,CH06,2,4589.7,5,8720.43,en_cours
VNT000002,2023-01-09,CLT07770,PRD0314,CH03,2,63.94,0,127.88,en_cours
VNT000003,2022-10-27,CLT04071,PRD0204,CH02,3,285.68,10,771.34,livré
VNT000004,2024-08-04,CLT11268,PRD0026,CH02,6,1191.42,10,6433.67,livré
VNT000005,2024-01-19,CLT02002,PRD0273,CH06,4,446.04,0,1784.16,livré
VNT000006,2024-06-10,CLT01660,PRD0267,CH02,1,199.16,0,199.16,livré
VNT000007,2024-10-04,CLT09519,PRD0136,CH03,1,166.11,0,166.11,livré
VNT000008,2023-02-16,CLT00940,PRD0303,CH06,1,220.68,10,198.61,livré
VNT000009,2023-03-30,CLT02561,PRD0210,CH07,1,89.4,0,89.4,livré
VNT000010,2022-02-07,CLT04115,PRD0058,CH07,10,571.74,0,5717.4,en_cours
VNT000011,2024-03-09,CLT08681,PRD0313,CH01,2,144.36,5,274.28,livré
VNT000012,2024-03-08,CLT02771,PRD0283,CH10,1,341.66,10,307.49,livré
VNT000013,2024-10-03,CLT08804,PRD0013,CH02,1,1290.39,5,1225.87,en_cours
VNT000014,2024-08-08,CLT02038,PRD0012,CH01,2,3807.89,0,7615.78,livré
VNT000015,2024-05-25,CLT00614,PRD0089,CH04,1,762.44,0,762.44,livré
VNT000016,2023-08-24,CLT06753,PRD0349,CH06,1,105.97,0,105.97,livré
VNT000017,2024-05-31,CLT05871,PRD0250,CH08,4,115.69,0,462.76,livré
VNT000018,2023-04-13,CLT03386,PRD0154,CH06,3,256.92,0,770.76,en_cours
VNT000019,2022-12-11,CLT06229,PRD0383,CH03,3,350.24,5,998.18,livré
VNT000020,2024-05-25,CLT04060,PRD0229,CH01,7,775.09,0,5425.63,livré
VNT000021,2024-10-07,CLT05792,PRD0319,CH04,2,212.99,10,383.38,livré
