id_stock,id_produit,depot,quantite_disponible,quantite_reservee,seuil_reappro,date_maj
STK00001,PRD0001,Casablanca-Hub,196,11,36,2026-05-13
STK00002,PRD0001,Tanger-Port,98,46,31,2026-05-17
STK00003,PRD0001,Fès-Logistique,24,0,16,2026-04-29
STK00004,PRD0002,Rabat-Dépôt,100,29,34,2026-04-25
STK00005,PRD0002,Fès-Logistique,176,30,39,2026-05-13
STK00006,PRD0003,Tanger-Port,35,21,12,2026-04-25
STK00007,PRD0004,Tanger-Port,253,34,17,2026-04-28
STK00008,PRD0004,Casablanca-Hub,109,49,23,2026-04-23
STK00009,PRD0004,Fès-Logistique,269,11,23,2026-04-26
STK00010,PRD0005,Marrakech-Entrepôt,155,25,18,2026-04-20
STK00011,PRD0006,Marrakech-Entrepôt,179,14,12,2026-05-14
STK00012,PRD0006,Fès-Logistique,31,2,39,2026-04-27
STK00013,PRD0007,Fès-Logistique,219,35,29,2026-05-03
STK00014,PRD0008,Fès-Logistique,242,20,24,2026-05-04
STK00015,PRD0008,Marrakech-Entrepôt,36,17,26,2026-05-18
STK00016,PRD0008,Rabat-Dépôt,32,11,21,2026-04-19
STK00017,PRD0009,Rabat-Dépôt,50,43,22,2026-05-10
STK00018,PRD0009,Tanger-Port,176,12,35,2026-04-28
STK00019,PRD0010,Fès-Logistique,141,28,18,2026-04-19
STK00020,PRD0010,Tanger-Port,4,4,31,2026-04-25
STK00021,PRD0010,Marrakech-Entrepôt,170,35,30,2026-05-16
STK00022,PRD0011,Fès-Logistique,144,36,36,2026-05-06
STK00023,PRD0011,Tanger-Port,87,28,35,2026-04-27
STK00024,PRD0012,Marrakech-Entrepôt,131,21,37,2026-05-06
STK00025,PRD0013,Tanger-Port,96,46,37,2026-05-17
STK00026,PRD0014,Marrakech-Entrepôt,14,8,16,2026-05-05
STK00027,PRD0015,Tanger-Port,298,46,12,2026-05-17
STK00028,PRD0016,Rabat-Dépôt,297,18,16,2026-05-05
STK00029,PRD0017,Fès-Logistique,18,6,11,2026-05-17
STK00030,PRD0017,Casablanca-Hub,76,42,17,2026-05-18
STK00031,PRD0017,Marrakech-Entrepôt,292,19,13,2026-05-12
STK00032,PRD0018,Agadir-Sud,28,3,38,2026-04-29
STK00033,PRD0018,Rabat-Dépôt,291,19,11,2026-05-04
